Code,Version,Format,Start Month,Summary
BC-ALA-2008-10-ALA,BC-ALA-0.1.0,Shards of Alara Block,2008-10,Shards of Alara cards now legal.
BC-ALA-2009-03-CON,BC-ALA-1.0.0,Shards of Alara Block,2009-03,Conflux cards now legal.
BC-ALA-2009-05-ARB,BC-ALA-1.1.0,Shards of Alara Block,2009-05,Alara Reborn cards now legal.
BC-CHK-2004-11-CHK,BC-CHK-0.1.0,Kamigawa Block,2004-11,Champions of Kamigawa cards are now legal.
BC-CHK-2005-03-BOK,BC-CHK-1.0.0,Kamigawa Block,2005-03,Betrayers of Kamigawa cards are now legal.
BC-CHK-2005-07-SOK,BC-CHK-1.1.0,Kamigawa Block,2005-07,Saviors of Kamigawa cards now legal.
BC-ICE-1995-06-ICE,BC-ICE-0.1.0,Ice Age Block,1995-06,Ice Age cards now legal
BC-ICE-1995-10-HML,BC-ICE-1.0.0,Ice Age Block,1995-10,Homelands cards now legal
BC-ICE-1996-06-ALL,BC-ICE-1.1.0,Ice Age Block,1996-06,Alliances cards now legal
BC-ICE-1997-05-ALL-B1,BC-ICE-1.1.1,Ice Age Block,1997-05,Thawing Glaciers and Zuran Orb are banned.
BC-ICE-2006-08-CSP,BC-ICE-2.0.0,Ice Age Block,2006-08,"Ice Age Block redefined as Ice Age, Alliances, and Coldsnap. Homelands cards no longer legal."
BC-INV-2000-10-INV,BC-INV-0.1.0,Invasion Block,2000-10,Invasion cards now legal.
BC-INV-2001-02-PLS,BC-INV-1.0.0,Invasion Block,2001-02,Planeshift cards now legal.
BC-INV-2001-07-APC,BC-INV-1.1.0,Invasion Block,2001-07,Apocalypse cards now legal.
BC-ISD-2011-10-ISD,BC-ISD-0.1.0,Innistrad-Avacyn Restored Block,2011-10,Innistrad cards now legal.
BC-ISD-2012-03-DKA,BC-ISD-1.0.0,Innistrad-Avacyn Restored Block,2012-03,Dark Ascension cards now legal.
BC-ISD-2012-03-DKA-B1,BC-ISD-1.0.1,Innistrad-Avacyn Restored Block,2012-03,Intangible Virtue and Lingering Souls are banned.
BC-ISD-2012-06-AVR,BC-ISD-1.1.0,Innistrad-Avacyn Restored Block,2012-06,Avacyn Restored cards now legal.
BC-LRW-2007-11-LRW,BC-LRW-0.1.0,Lorwyn-Shadowmoor Block,2007-11,Lorwyn cards now legal.
BC-LRW-2008-03-MOR,BC-LRW-1.0.0,Lorwyn-Shadowmoor Block,2008-03,Morningtide cards now legal.
BC-LRW-2008-06-SHM,BC-LRW-1.1.0,Lorwyn-Shadowmoor Block,2008-06,Shadowmoor cards now legal.
BC-LRW-2008-07-EVE,BC-LRW-1.2.0,Lorwyn-Shadowmoor Block,2008-07,Eventide cards now legal.
BC-MIR-1996-10-MIR,BC-MIR-0.1.0,Mirage Block,1996-10,Mirage cards now legal
BC-MIR-1997-03-VIS,BC-MIR-1.0.0,Mirage Block,1997-03,Visions cards now legal
BC-MIR-1997-07-WTH,BC-MIR-1.1.0,Mirage Block,1997-07,Weatherlight cards now legal
BC-MIR-1997-07-WTH-B1,BC-MIR-1.1.1,Mirage Block,1997-07,Squandered Resources is banned
BC-MMQ-1999-10-MMQ,BC-MMQ-0.1.0,Mercadian Masques Block,1999-10,Mercadian Masques cards now legal.
BC-MMQ-2000-03-NEM,BC-MMQ-1.0.0,Mercadian Masques Block,2000-03,Nemesis cards now legal.
BC-MMQ-2000-06-NEM-B1,BC-MMQ-1.0.1,Mercadian Masques Block,2000-06,"Lin Sivvi, Defiant Hero and Rishadan Port are banned"
